Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S197931848,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,16,US-AR,Benton,L125062,Charlie Craig State Fish Hatchery,36.349914,-94.2910727,2024-10-07,12:09 PM,eBird - Traveling Count,104,1,2.797,,2,,"2 separate groups, 1 with some juvenile birds. Bright pink beak, lighter head with dark brown body.",,624725354 624725355
S154686717,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,8,US-FL,Lake,L27985101,Mission Inn Resort,28.723709,-81.782519,2023-11-18,10:43 AM,eBird - Traveling Count,29,1,1.926,,2
S154693068,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,10,US-FL,Lake,L27985101,Mission Inn Resort,28.723709,-81.782519,2023-11-18,11:37 AM,eBird - Traveling Count,47,1,2.852,,2
S157411038,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,10,US-FL,Orange,L3281871,Lake Apopka North Shore--Pump House Area,28.6682,-81.59346,2023-12-29,10:22 AM,eBird - Traveling Count,97,1,4.946,,2
S128974486,Snow Goose,Anser caerulescens,257,1,US-PA,Allegheny,L22701519,"3151–3153 Wexford Rd, Wexford US-PA (40.6283,-80.0234)",40.628346,-80.023438,2023-02-19,02:00 PM,eBird - Casual Observation,,0,,,1,,Smaller white goose in a small flock of CAG
S130253755,Snow Goose,Anser caerulescens,257,1,US-PA,Allegheny,L3467978,Great Allegheny Passage--The Pump House,40.4133512,-79.8972023,2023-03-05,03:02 PM,eBird - Traveling Count,29,1,1.191,,1,,In front of the Siemens building,,542945591
S121949606,Snow Goose,Anser caerulescens,257,2,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2022-11-06,09:02 AM,eBird - Traveling Count,50,1,.962,,2,,"Seen with Wood Ducks and Mallards. White on top, orange beak. It was in the water, so we didn’t get a good look at bottom. Saw brief view of black on underside of wing. Could be domesticated white duck."
S163468965,Greater White-fronted Goose,Anser albifrons,276,1,US-PA,Allegheny,L29608275,Trotter Pond,40.480141,-80.315925,2024-03-02,02:24 PM,eBird - Stationary Count,8,1,,,2,,"White on face, white under tail, orange legs and beak",,615682063 615682064 615682065
S94933748,Brant,Branta bernicla,302,1,US-NJ,Cape May,L16427967,"Grassy Sound, Wildwood US-NJ 39.01686, -74.81363",39.01686,-74.813625,2021-09-20,12:26 PM,eBird - Traveling Count,7,1,1.577,,2
S173310815,Canada Goose,Branta canadensis,330,8,US-CO,Adams,L1818121,Rocky Mountain Arsenal NWR--Lake Ladora,39.8170715,-104.8569235,2024-05-10,01:31 PM,eBird - Traveling Count,18,1,.551,,2
S173310807,Canada Goose,Branta canadensis,330,10,US-CO,Adams,L2442148,Rocky Mountain Arsenal NWR--Lower Derby Lake,39.8146676,-104.8424435,2024-05-10,02:06 PM,eBird - Traveling Count,27,1,2.654,,2
S173482351,Canada Goose,Branta canadensis,330,20,US-CO,Adams,L9034845,Rocky Mountain Arsenal NWR--Wildlife Drive,39.8537552,-104.8238524,2024-05-10,02:35 PM,eBird - Traveling Count,91,1,14.557,,2,,,Will need to add in some shorebirds based on photos (sandpipers maybe an avocet) in pond behind bison
S102588323,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L17737803,"154–210 Ferguson Rd, Clinton US-PA 40.49881, -80.32431",40.498813,-80.324309,2022-02-13,02:52 PM,eBird - Traveling Count,40,1,1.308,,1
S128974486,Canada Goose,Branta canadensis,330,5,US-PA,Allegheny,L22701519,"3151–3153 Wexford Rd, Wexford US-PA (40.6283,-80.0234)",40.628346,-80.023438,2023-02-19,02:00 PM,eBird - Casual Observation,,0,,,1
S172575264,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L10375007,Backyard,40.384885,-80.036196,2024-05-07,07:25 AM,eBird - Stationary Count,36,1,,,1
S132805603,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L329082,Beechwood Farms Nature Reserve,40.5434793,-79.9062252,2023-04-05,05:26 PM,eBird - Traveling Count,69,1,2.463,,1,,,,554043211
S129423550,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L11704777,Bethel Green,40.3544806,-80.0241915,2023-02-23,07:34 AM,eBird - Traveling Count,68,1,1.668,,1,,Flyover
S85763305,Canada Goose,Branta canadensis,330,3,US-PA,Allegheny,L720522,Boyce-Mayview Park,40.3250191,-80.1015759,2021-04-17,05:20 PM,eBird - Traveling Count,97,1,3.331,,1
S106901413,Canada Goose,Branta canadensis,330,10,US-PA,Allegheny,L720522,Boyce-Mayview Park,40.3250191,-80.1015759,2022-04-12,06:00 PM,eBird - Traveling Count,65,1,2.598,,2
S132386012,Canada Goose,Branta canadensis,330,3,US-PA,Allegheny,L720522,Boyce-Mayview Park,40.3250191,-80.1015759,2023-04-01,10:25 AM,eBird - Traveling Count,128,1,4.697,,1
S163386169,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L720522,Boyce-Mayview Park,40.3250191,-80.1015759,2024-03-01,06:14 PM,eBird - Traveling Count,35,1,1.56,,2,,,Walked from Beech Valley Trail to Morton Fields looking for Barred Owl and American Woodcock.
S163555249,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L720522,Boyce-Mayview Park,40.3250191,-80.1015759,2024-03-03,08:39 AM,eBird - Traveling Count,66,1,2.188,,1
S133230985,Canada Goose,Branta canadensis,330,14,US-PA,Allegheny,L1078564,Brunot Island--Doerr St.,40.4691841,-80.0419664,2023-04-09,04:38 PM,eBird - Traveling Count,23,1,.953,,1
S153733415,Canada Goose,Branta canadensis,330,12,US-PA,Allegheny,L1078564,Brunot Island--Doerr St.,40.4691841,-80.0419664,2023-11-04,02:04 PM,eBird - Traveling Count,8,1,.093,,1
